Date,Close,High,Low,Open,Volume
,SPG,SPG,SPG,SPG,SPG
2020-01-02,106.30240631103516,109.72395194034861,106.12657379294893,109.4675257916111,1849300
2020-01-03,106.49288940429688,106.9544608699988,105.50378692999476,105.71625491521202,1308200
2020-01-06,107.04969787597656,107.60651932559898,105.86278399512621,106.3023763460127,1026700
2020-01-07,105.83348846435547,106.59546655135577,105.1447813709612,105.97269664445652,1621600
2020-01-08,106.52955627441406,107.0131181741075,105.5258081447133,106.17055734430457,1397600
2020-01-09,105.67227935791016,106.28772650994297,105.0348643278416,106.13386192703935,2236400
2020-01-10,106.08261108398438,106.19984022305906,105.25470684078626,105.68697671408987,1912800
2020-01-13,106.44891357421875,107.4453386146349,105.65031125244819,105.92140495713524,2061300
2020-01-14,107.7970199584961,107.87761356684238,106.34633500826274,106.61009489197951,1584800
2020-01-15,107.7750473022461,108.25127517466696,107.10831933719054,107.7384118090792,1357000
2020-01-16,108.83008575439453,109.20375216773299,107.7237653080817,107.95822354230064,1103900
2020-01-17,108.26596069335938,109.5261459756838,108.1414089267976,108.91069859205645,1436900
2020-01-21,109.24771118164062,109.81918915772442,108.01682780113275,108.23662960260744,1628800
2020-01-22,106.97643280029297,109.64333345606693,106.92515205400376,109.38690736545533,1582600
2020-01-23,107.88495635986328,107.92891448543601,105.81151239353616,106.89585381613946,1561300
2020-01-24,106.10457611083984,108.28791520413768,105.97269056583077,107.85564543357565,1893300
2020-01-27,103.76738739013672,105.4378633374905,103.76738739013672,105.32063420935708,2061600
2020-01-28,102.56580352783203,104.30953907035108,102.53649065979238,103.91390478848406,1422400
2020-01-29,102.59510803222656,103.57687672641441,102.43392079233496,102.77827433395939,1667500
2020-01-30,99.97216796875,102.52917363513197,99.71574184710046,101.86244559559171,2639600
2020-01-31,97.55437469482422,99.8036624045595,97.34190668888216,99.64247515332706,2920300
2020-02-03,97.2979507446289,99.4959465693739,97.10012799011808,97.72289794562978,2812300
2020-02-04,100.58759307861328,102.0162990584467,95.25379170462283,96.40408135122382,5060800
2020-02-05,102.91748046875,103.03470958263173,100.55829765490218,100.5729540890333,2811900
2020-02-06,103.20321655273438,104.50735966424504,102.58778049148778,103.87726716927828,2151300
2020-02-07,103.3204574584961,103.33510271430485,102.0529385172096,102.8075940155749,1983500
2020-02-10,104.8150634765625,104.84437634002649,102.4485584228184,104.1190338936474,2893300
2020-02-11,104.0970687866211,105.72358635981699,102.47787384048165,105.1374519873853,3060400
2020-02-12,101.96501922607422,104.3901393607354,101.09314580929251,104.03114055117888,4957300
2020-02-13,103.14778900146484,104.17434947170574,101.54841870835729,101.86085114285325,2557100
2020-02-14,103.3411865234375,103.60155253628298,102.56009983576045,103.296554944289,1501100
2020-02-18,103.5271987915039,103.83219650071501,102.54526962028228,103.37098820444908,1594300
2020-02-19,101.92037200927734,103.30400796099659,100.73758954997935,103.30400796099659,2267800
2020-02-20,104.53887176513672,104.54630657960732,101.65257462989334,101.9278216773706,2202300
2020-02-21,105.81835174560547,106.2051777210887,104.0330202986776,104.0330202986776,3180200
2020-02-24,104.7248306274414,104.92568410057211,103.67594302992147,104.4347139888572,3097400
2020-02-25,100.63346099853516,104.9182642790343,100.28383171157711,104.72485692170432,4040700
2020-02-26,98.36459350585938,102.18818850638343,98.34227770894073,101.42198254320824,2228300
2020-02-27,93.58135986328125,98.59517096262236,93.00112092324416,96.73544605019968,3834700
2020-02-28,91.55799102783203,93.6483203049725,89.19986087189545,92.10846808961031,5789400
2020-03-02,94.63771057128906,94.7195389459568,89.52718293949725,91.83324138589167,3437900
2020-03-03,91.10420989990234,96.92887000623733,90.11483483028589,94.53354327997867,4913100
2020-03-04,91.86299133300781,92.56969036767809,89.33376373476472,91.73653137195349,3673600
2020-03-05,89.19241333007812,90.33056413725811,87.48146403698286,90.30824834502798,3553600
2020-03-06,88.56756591796875,89.03622037900783,85.58457028469486,87.00539762384611,3613100
2020-03-09,76.65042877197266,83.70994351226634,76.62067248995403,83.68762771960998,6489400
2020-03-10,82.89912414550781,83.6802054355632,76.45703241042172,79.59624990346872,6009900
2020-03-11,75.50485229492188,81.49317043676074,74.38901703933189,80.84598394536317,5926000
2020-03-12,62.10737609863281,71.22002883159459,61.56433956299124,68.82470206229006,7611300
2020-03-13,66.77900695800781,67.89484202743854,60.70142664194517,66.094629477527,7038700
2020-03-16,48.940528869628906,58.685487747772115,48.590899625207456,58.678047257878006,5743600
2020-03-17,43.785369873046875,50.19026381497969,40.14030740338441,49.50588631426468,10561600
2020-03-18,33.4155387878418,41.31565295015122,32.37409444839786,40.54200663784526,12166900
2020-03-19,41.46443176269531,44.26145704321825,33.846996562461015,34.449548511853756,10392200
2020-03-20,35.81086349487305,47.170063928872416,34.33796166217832,43.86719341050076,9258400
2020-03-23,37.313533782958984,38.77155795113115,34.256144486929166,36.078676116002384,10694900
2020-03-24,40.71310043334961,42.535631548964915,39.09886045287463,40.50481213592451,7401800
2020-03-25,46.374107360839844,51.730116465129555,40.713103439494006,41.449555861891454,8662200
2020-03-26,46.19557571411133,48.71736278855959,43.443184516618274,46.63447100219365,8730100
2020-03-27,43.2720832824707,44.975592195189485,41.43467677010069,44.94583591183793,4837800
2020-03-30,41.85869598388672,43.145625507640474,40.77261712629784,42.82575253979073,4848900
2020-03-31,40.80980682373047,42.639775586161356,39.27739236574078,42.11161435466317,6507700
2020-04-01,34.992591857910156,38.1838811475657,34.21894545356052,37.75242351669993,8728800
2020-04-02,32.73860168457031,36.063791302279085,31.429356371875183,34.30821023196945,7679000
2020-04-03,34.75454330444336,35.052097615481784,32.87249958834947,32.88737772955868,6759100
2020-04-06,40.214698791503906,41.241265059900726,37.164747757452176,37.64083695515194,8207200
2020-04-07,45.28803634643555,47.86189292966333,43.889521970443994,43.889521970443994,8424900
